"COMMUNE_NOM","COLL_INSEE","TYPE_EVENEMENT","ANNEE","DATE_EVENEMENT","NOMBRE_EVENEMENT"
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131008,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131011,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131013,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131016,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131017,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131019,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131021,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131023,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131024,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131028,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131029,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131031,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131109,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131110,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131112,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131114,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131115,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131117,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131118,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131120,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131123,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131124,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131126,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131128,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131130,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131205,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131209,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131210,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131216,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131224,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131227,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131231,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140101,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140106,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140107,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140110,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140113,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140120,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140121,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140125,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140131,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140203,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140217,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140223,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140226,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140228,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140302,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140303,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140310,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140311,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140313,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140314,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140316,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140319,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140325,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140326,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140327,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140330,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140403,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140405,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140406,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140408,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140414,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140416,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140419,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140422,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140423,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140503,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140506,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140509,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140518,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140520,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140523,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140531,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140605,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140607,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140611,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140616,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140618,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140620,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140630,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140706,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140708,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140709,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140710,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140715,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140725,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140730,1
